Time [s],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
0.3835,0.184764733,-2.147308955,1.962544222,273.3513304,1.320238911,2793.648416
0.384,0.568989907,-2.296478603,1.727488697,281.7323852,1.344127418,2793.764336
0.3845,0.913595474,-2.360861927,1.447266454,290.1138143,1.301015087,2793.778227
0.385,1.234742316,-2.364161524,1.129419208,298.4949076,1.316803814,2793.645225
0.3855,1.553163444,-2.342402938,0.789239494,306.8760149,1.362496416,2793.841404
0.386,1.823089972,-2.269687789,0.446597817,315.2578715,1.300747975,2793.953042
0.3865,2.02429547,-2.092021987,0.067726517,323.6393897,1.298485037,2793.721277
0.387,2.202129666,-1.887130498,-0.314999168,332.0204161,1.341489797,2793.706412
0.3875,2.331896714,-1.643831858,-0.688064857,340.4017945,1.329372388,2793.857839
0.388,2.364877921,-1.343937759,-1.020940162,348.7833087,1.29390763,2793.754851
0.3885,2.359181538,-1.016319599,-1.342861939,357.1643822,1.340483324,2793.710457
0.389,2.332105486,-0.679756165,-1.652349321,5.545851094,1.345998196,2793.945706
0.3895,2.211618929,-0.319488797,-1.892130132,13.9277868,1.289947597,2793.911333
0.39,2.030870697,0.056967524,-2.087838221,22.30913792,1.312405665,2793.69579
0.3905,1.808941433,0.444109749,-2.253051182,30.69026821,1.347322962,2793.786917
0.391,1.549960689,0.801562573,-2.351523262,39.0718397,1.308520871,2793.85832
0.3915,1.239194531,1.127155958,-2.36635049,47.45317413,1.301830941,2793.685727
0.392,0.903164347,1.450331291,-2.353495638,55.83421867,1.358053751,2793.777745
0.3925,0.571427013,1.743674529,-2.315101541,64.21592836,1.317980748,2793.957526
0.393,0.191881173,1.957643218,-2.149524391,72.59761586,1.293058546,2793.789336
0.3935,-0.185836926,2.148769232,-1.962932305,80.97871845,1.32834595,2793.675217
0.394,-0.569094233,2.298159407,-1.729065174,89.35991501,1.339291977,2793.808955
0.3945,-0.911976667,2.358569455,-1.446592788,97.74141106,1.298117623,2793.781572
0.395,-1.235770655,2.364067108,-1.128296453,106.1225243,1.324453695,2793.674008
0.3955,-1.554780389,2.342109986,-0.787329597,114.5037641,1.355781876,2793.875403
0.396,-1.820525017,2.267960097,-0.447435081,122.8856249,1.295873791,2793.924982
0.3965,-2.023897105,2.09252637,-0.068629265,131.2670316,1.303212295,2793.692154
0.397,-2.203382362,1.88732831,0.316054052,139.6480358,1.344252857,2793.717372
0.3975,-2.332430739,1.645524328,0.68690641,148.0294497,1.324301225,2793.85655
0.398,-2.363782391,1.344296961,1.01948543,156.4109139,1.29542644,2793.734452
0.3985,-2.360786163,1.015673896,1.345112267,164.7919771,1.34698529,2793.732988
0.399,-2.333729249,0.680955316,1.652773933,173.1735372,1.337358991,2793.956965
