Time [ms],Current(PhaseA) [A],Current(PhaseB) [A],Current(PhaseC) [A],Moving1.Position [deg],Moving1.Torque [NewtonMeter],Moving1.Speed [rpm]
246.5004,1.040265894,-1.120584975,-0.393856202,253.2670943,1.033154183,2802.599643
247.0004,1.073069947,-0.896194471,-0.567101895,261.6712063,1.109002204,2800.257708
247.5004,1.128504385,-0.613342477,-0.738599552,270.0692517,1.165955677,2798.526893
248.0004,1.120124357,-0.326695353,-0.850676288,278.4625104,1.14072842,2796.938761
248.5004,1.101419938,-0.037237494,-0.915391912,286.8511723,1.228834757,2795.638662
249.0004,1.080741918,0.262163703,-1.02998501,295.2371672,1.318045433,2795.16337
249.5004,0.996360457,0.566839589,-1.085769203,303.6224783,1.298523515,2795.013817
250.0004,0.872504534,0.809061073,-1.09647025,312.0075484,1.381802865,2795.162565
250.5004,0.723335331,1.041211544,-1.122937986,320.3949226,1.61228627,2796.780247
251.0004,0.533943972,1.216573482,-1.163507844,328.7889701,1.538033921,2799.138217
251.5004,0.34593858,1.286978489,-1.119239455,337.1888473,1.416568709,2800.591617
252.0004,0.128147544,1.346857078,-1.077961249,345.5923071,1.49170363,2801.832308
252.5004,-0.105791643,1.484964636,-1.033820815,354.0004802,1.552202918,2803.712021
253.0004,-0.294748519,1.49779646,-0.929779451,2.414105742,1.388595458,2805.118215
253.5004,-0.460864296,1.497261312,-0.788666705,10.83035807,1.373470836,2805.693008
254.0004,-0.631881249,1.577908788,-0.617734714,19.24855307,1.450300579,2806.557083
254.5004,-0.762797743,1.589512323,-0.438148037,27.66914412,1.25365581,2806.864711
255.0004,-0.825046263,1.495991316,-0.225343343,36.08854419,1.194356581,2805.97519
255.5004,-0.908210489,1.434556544,0.013843874,44.50516865,1.291994433,2805.259065
256.0004,-1.01464557,1.338284499,0.208483511,52.9200984,1.194857288,2804.542766
256.5004,-1.039607437,1.120339246,0.393444952,61.3311789,1.026170122,2802.580115
257.0004,-1.072411978,0.895014,0.567493927,69.73511668,1.098221237,2800.155053
257.5004,-1.127550279,0.611870385,0.737083996,78.13273389,1.16198853,2798.354669
258.0004,-1.118995197,0.324373656,0.850979687,86.52541623,1.136167702,2796.725812
258.5004,-1.100558615,0.037350429,0.91539397,94.91340009,1.229869203,2795.408279
259.0004,-1.079684776,-0.262435943,1.0289307,103.2988028,1.337461742,2795.027688
259.5004,-0.996050796,-0.566556499,1.085637974,111.6839492,1.311663997,2795.030075
260.0004,-0.871987294,-0.80901138,1.096141831,120.0691707,1.37734793,2795.219824
260.5004,-0.722765845,-1.040561199,1.122734605,128.4567246,1.622782214,2796.866078
261.0004,-0.533371281,-1.216492383,1.162902316,136.8511454,1.541671662,2799.290566
261.5004,-0.345208158,-1.288662245,1.119586398,145.2514604,1.404956978,2800.707409
262.0004,-0.127655719,-1.345610885,1.076878954,153.6551384,1.487145794,2801.872853
262.5004,0.106062821,-1.485652682,1.033572091,162.0633876,1.551597008,2803.728423
263.0004,0.295061561,-1.497540573,0.929799346,170.4770171,1.380126152,2805.092182
263.5004,0.461761619,-1.49830631,0.788422978,178.8931546,1.382587254,2805.669812
264.0004,0.631058189,-1.575596166,0.617658795,187.3113929,1.456267363,2806.604357
264.5004,0.764440789,-1.592681865,0.437457666,195.7321346,1.243508409,2806.892758
265.0004,0.825808223,-1.495974239,0.22502188,204.1514994,1.189062192,2805.931077
265.5004,0.908324016,-1.433988784,-0.014350637,212.5679451,1.29274753,2805.193388
266.0004,1.01412141,-1.337667802,-0.20869818,220.9826649,1.190707384,2804.460893
266.5004,1.041362115,-1.120127948,-0.395061335,229.3935044,1.035568578,2802.522434
267.0004,1.072213019,-0.894675641,-0.567438732,237.7974014,1.107786031,2800.185896
267.5004,1.127151287,-0.611551112,-0.738708836,246.1951789,1.157256289,2798.408421
268.0004,1.119744366,-0.324045557,-0.851897718,254.5879907,1.13873548,2796.7697
268.5004,1.100808755,-0.036743842,-0.91629006,262.9761719,1.238725222,2795.505763
269.0004,1.079807803,0.261015898,-1.027547531,271.3619325,1.333607432,2795.14907
269.5004,0.995387671,0.57019924,-1.086366897,279.7473726,1.304125669,2795.098701
270.0004,0.871748593,0.808255149,-1.096435477,288.132684,1.367569364,2795.207615
270.5004,0.722846578,1.039879739,-1.121062632,296.5200537,1.61081074,2796.751914
271.0004,0.533112267,1.216823906,-1.162961831,304.9140398,1.546106717,2799.140484
271.5004,0.34449181,1.290457004,-1.120155916,313.3140192,1.420829636,2800.651649
272.0004,0.129136848,1.344162332,-1.077015334,321.7176957,1.490888836,2801.908817
272.5004,-0.105792342,1.484290479,-1.032934524,330.1260815,1.550137721,2803.775398
273.0004,-0.295877025,1.498474621,-0.930350823,338.5398773,1.388388951,2805.171193
273.5004,-0.46140868,1.498349543,-0.788680083,346.956326,1.381832197,2805.784323
274.0004,-0.630854665,1.576712965,-0.618054482,355.3748296,1.440876405,2806.643868
274.5004,-0.76457911,1.5933455,-0.437588501,3.79555875,1.246218987,2806.872961
275.0004,-0.826564552,1.49658137,-0.225417624,12.21489044,1.189348642,2805.925101
275.5004,-0.907143021,1.433344444,0.013533611,20.63127108,1.282103271,2805.138964
276.0004,-1.014820766,1.33894226,0.208948848,29.04577061,1.199867515,2804.399212
276.5004,-1.042022722,1.120646916,0.394626931,37.45652947,1.039681299,2802.52258
277.0004,-1.072773639,0.896136195,0.566931789,45.86040246,1.09430033,2800.142322
277.5004,-1.127587915,0.61097562,0.73755521,54.25791364,1.155290872,2798.292305
278.0004,-1.120391248,0.324562677,0.853155035,62.65035015,1.137103882,2796.636146
278.5004,-1.099835155,0.035091393,0.91574216,71.03807949,1.231234091,2795.32896
279.0004,-1.080860574,-0.261186229,1.029041101,79.423294,1.345458965,2794.991865
279.5004,-0.995897105,-0.569011915,1.086579433,87.80844986,1.320715878,2795.073948
280.0004,-0.872022122,-0.808479601,1.09752109,96.19381681,1.362121984,2795.235154
280.5004,-0.722605459,-1.039054041,1.120131341,104.5812058,1.608071583,2796.741373
281.0004,-0.53278789,-1.218285763,1.163567937,112.9752017,1.560486196,2799.184276
281.5004,-0.344801635,-1.290237779,1.120700608,121.3754161,1.414165542,2800.731817
282.0004,-0.129378386,-1.345578145,1.076547332,129.7792244,1.480820457,2801.911107
282.5004,0.105034133,-1.482378251,1.032756882,138.1874943,1.544039358,2803.701916
283.0004,0.296270219,-1.499318175,0.930480883,146.6010098,1.387934235,2805.066611
283.5004,0.46142322,-1.498383679,0.788596186,155.0171367,1.381180335,2805.674085
284.0004,0.630794305,-1.575330259,0.617715575,163.4354095,1.463676164,2806.636782
284.5004,0.764246964,-1.593050781,0.437542063,171.8563755,1.255810117,2807.017572
285.0004,0.82724261,-1.496960544,0.225570673,180.276178,1.177800373,2806.061438
285.5004,0.906040457,-1.43138572,-0.013148187,188.6928516,1.280172886,2805.212778
286.0004,1.014381398,-1.338362787,-0.209183617,197.1075746,1.204112869,2804.484025
286.5004,1.042803746,-1.121285228,-0.394627649,205.5185776,1.028884851,2802.57711
287.0004,1.0726533,-0.895602528,-0.56687767,213.9225008,1.091578107,2800.13377
287.5004,1.126995245,-0.610851315,-0.736935505,222.3199816,1.15978562,2798.291884
288.0004,1.120552939,-0.323738194,-0.853100873,230.7124297,1.130871288,2796.62761
288.5004,1.099166539,-0.033859861,-0.916040179,239.1000909,1.234597036,2795.30695
289.0004,1.080376027,0.260389323,-1.027579515,247.4853131,1.354549414,2795.027994
289.5004,0.997150731,0.56804264,-1.087218845,255.8706034,1.308036113,2795.09355
290.0004,0.872232798,0.808074042,-1.098054717,264.2558915,1.35798097,2795.176116
